Printing BetweenessCentrality
Printing HITS authority + hub
User aliem = Auth(  0.00007 ) + Hub(  0.01317 ) 
User angeltcgirl = Auth(  0.00007 ) + Hub(  0.00374 ) 
User skolobov = Auth(  0.00007 ) + Hub(  0.00369 ) 
User kball = Auth(  0.00008 ) + Hub(  0.00762 ) 
User garyblessington = Auth(  0.00007 ) + Hub(  0.00000 ) 
User mustache = Auth(  0.00185 ) + Hub(  0.00000 ) 
User thesmith = Auth(  0.00038 ) + Hub(  0.00367 ) 
User phaedra = Auth(  0.00035 ) + Hub(  0.00279 ) 
User jasonwatkinspdx = Auth(  0.00007 ) + Hub(  0.02070 ) 
User abhay = Auth(  0.00422 ) + Hub(  0.00000 ) 
User johnyanarella = Auth(  0.00007 ) + Hub(  0.00059 ) 
User massless = Auth(  0.00238 ) + Hub(  0.00073 ) 
User flightcaster = Auth(  0.00007 ) + Hub(  0.00000 ) 
User shinzui = Auth(  0.00308 ) + Hub(  0.03311 ) 
User netik = Auth(  0.00179 ) + Hub(  0.00286 ) 
User jim = Auth(  0.00010 ) + Hub(  0.00762 ) 
User jk0 = Auth(  0.00007 ) + Hub(  0.00542 ) 
User eschulte = Auth(  0.00222 ) + Hub(  0.00000 ) 
User jpablobr = Auth(  0.00007 ) + Hub(  0.05845 ) 
User bradford = Auth(  0.01178 ) + Hub(  0.00000 ) 
User kasima = Auth(  0.00030 ) + Hub(  0.00043 ) 
User NYiPhoneDeveloper = Auth(  0.00007 ) + Hub(  0.02563 ) 
User sdevore = Auth(  0.00007 ) + Hub(  0.00014 ) 
User drkjam = Auth(  0.00007 ) + Hub(  0.00034 ) 
User iam1e3t = Auth(  0.00015 ) + Hub(  0.00000 ) 
User yacoob = Auth(  0.00007 ) + Hub(  0.00007 ) 
User ltgbau = Auth(  0.00007 ) + Hub(  0.00033 ) 
User stonebranch = Auth(  0.00007 ) + Hub(  0.00549 ) 
User agiamas = Auth(  0.00007 ) + Hub(  0.00017 ) 
User Xac = Auth(  0.00007 ) + Hub(  0.01317 ) 
User ckknight = Auth(  0.00008 ) + Hub(  0.00000 ) 
User artisonian = Auth(  0.00007 ) + Hub(  0.01437 ) 
User jschlachet = Auth(  0.00007 ) + Hub(  0.00002 ) 
User tebeka = Auth(  0.00048 ) + Hub(  0.00000 ) 
User underglow = Auth(  0.00007 ) + Hub(  0.00155 ) 
User jjp = Auth(  0.00007 ) + Hub(  0.00006 ) 
User mulesoft = Auth(  0.00007 ) + Hub(  0.00000 ) 
User AaronMeyers = Auth(  0.00047 ) + Hub(  0.00000 ) 
User braindeaf = Auth(  0.00007 ) + Hub(  0.00288 ) 
User anutron = Auth(  0.00099 ) + Hub(  0.00000 ) 
User andre = Auth(  0.00914 ) + Hub(  0.00000 ) 
User jjo = Auth(  0.00007 ) + Hub(  0.00000 ) 
User nikolay = Auth(  0.00021 ) + Hub(  0.03656 ) 
User kleinmatic = Auth(  0.00007 ) + Hub(  0.00009 ) 
User merb = Auth(  0.00124 ) + Hub(  0.00000 ) 
User fbrunel = Auth(  0.00007 ) + Hub(  0.02484 ) 
User ycombinator = Auth(  0.00007 ) + Hub(  0.00001 ) 
User Fluxx = Auth(  0.00007 ) + Hub(  0.01978 ) 
User jjb = Auth(  0.00007 ) + Hub(  0.00051 ) 
User purzelrakete = Auth(  0.00102 ) + Hub(  0.02845 ) 
User valo = Auth(  0.00007 ) + Hub(  0.00076 ) 
User ryanm = Auth(  0.00007 ) + Hub(  0.00847 ) 
User dgladkov = Auth(  0.00007 ) + Hub(  0.00214 ) 
User craigdavey = Auth(  0.00026 ) + Hub(  0.00000 ) 
User bbarth = Auth(  0.00007 ) + Hub(  0.00030 ) 
User damon = Auth(  0.00007 ) + Hub(  0.01745 ) 
User sylvainkalache = Auth(  0.00056 ) + Hub(  0.00001 ) 
User jonathanchu = Auth(  0.00007 ) + Hub(  0.00226 ) 
User jm3 = Auth(  0.00167 ) + Hub(  0.00061 ) 
User philc = Auth(  0.00050 ) + Hub(  0.00796 ) 
User damog = Auth(  0.00099 ) + Hub(  0.00681 ) 
User jkk = Auth(  0.00024 ) + Hub(  0.00000 ) 
User DarkMetatron = Auth(  0.00007 ) + Hub(  0.00369 ) 
User ryana = Auth(  0.00007 ) + Hub(  0.03544 ) 
User philm = Auth(  0.00021 ) + Hub(  0.00000 ) 
User philk = Auth(  0.00021 ) + Hub(  0.00715 ) 
User ryanb = Auth(  0.00939 ) + Hub(  0.03991 ) 
User greenido = Auth(  0.00007 ) + Hub(  0.00779 ) 
User puzzle = Auth(  0.00024 ) + Hub(  0.00000 ) 
User brool = Auth(  0.00047 ) + Hub(  0.00000 ) 
User eshear = Auth(  0.00080 ) + Hub(  0.00000 ) 
User errant = Auth(  0.00007 ) + Hub(  0.00011 ) 
User csamuel = Auth(  0.00007 ) + Hub(  0.02076 ) 
User Htbaa = Auth(  0.00007 ) + Hub(  0.00127 ) 
User sleets = Auth(  0.00007 ) + Hub(  0.00366 ) 
User kernelzilla = Auth(  0.00007 ) + Hub(  0.00010 ) 
User eekim = Auth(  0.00008 ) + Hub(  0.00006 ) 
User mneylon = Auth(  0.00007 ) + Hub(  0.00016 ) 
User muromurooka = Auth(  0.00007 ) + Hub(  0.00715 ) 
User thuss = Auth(  0.00007 ) + Hub(  0.00000 ) 
User leogomes = Auth(  0.00007 ) + Hub(  0.00019 ) 
User coffeeaddict = Auth(  0.00007 ) + Hub(  0.00715 ) 
User sudhirvkumar = Auth(  0.00007 ) + Hub(  0.00302 ) 
User dajobe = Auth(  0.00107 ) + Hub(  0.00026 ) 
User xiaoyi = Auth(  0.00007 ) + Hub(  0.00089 ) 
User quikdraw2700 = Auth(  0.00007 ) + Hub(  0.00369 ) 
User sethwalker = Auth(  0.00007 ) + Hub(  0.00001 ) 
User xopher = Auth(  0.00007 ) + Hub(  0.00017 ) 
User rhalff = Auth(  0.00007 ) + Hub(  0.00036 ) 
User chrisjm = Auth(  0.00007 ) + Hub(  0.00034 ) 
User furf = Auth(  0.00007 ) + Hub(  0.00030 ) 
User ricardojsanchez = Auth(  0.00007 ) + Hub(  0.02931 ) 
User swivel = Auth(  0.00015 ) + Hub(  0.00000 ) 
User jarinudom = Auth(  0.00007 ) + Hub(  0.00006 ) 
User lisaannadkins = Auth(  0.00007 ) + Hub(  0.00760 ) 
User keithduncan = Auth(  0.00007 ) + Hub(  0.00024 ) 
User olabini = Auth(  0.00165 ) + Hub(  0.00000 ) 
User Aarmel = Auth(  0.00007 ) + Hub(  0.00549 ) 
User roddi = Auth(  0.00152 ) + Hub(  0.00000 ) 
User rapidsms = Auth(  0.00007 ) + Hub(  0.00000 ) 
User brandonvfx = Auth(  0.00007 ) + Hub(  0.00374 ) 
User samba = Auth(  0.00007 ) + Hub(  0.00001 ) 
User mateuszb = Auth(  0.00030 ) + Hub(  0.00181 ) 
User alexmv = Auth(  0.00096 ) + Hub(  0.00000 ) 
User rabidsnail = Auth(  0.00007 ) + Hub(  0.00001 ) 
User fabriceb = Auth(  0.00056 ) + Hub(  0.00001 ) 
User draegtun = Auth(  0.00007 ) + Hub(  0.00127 ) 
User PeteTheSadPanda = Auth(  0.00007 ) + Hub(  0.00911 ) 
User phaufe = Auth(  0.00007 ) + Hub(  0.00304 ) 
User cheba = Auth(  0.00007 ) + Hub(  0.00760 ) 
User bbuckley = Auth(  0.00007 ) + Hub(  0.01317 ) 
User nakajima = Auth(  0.00852 ) + Hub(  0.04535 ) 
User yuiseki = Auth(  0.00007 ) + Hub(  0.02547 ) 
User DaveBatton = Auth(  0.00007 ) + Hub(  0.00001 ) 
User panesofglass = Auth(  0.00007 ) + Hub(  0.00092 ) 
User thekarladam = Auth(  0.00184 ) + Hub(  0.00033 ) 
User delhanty = Auth(  0.00007 ) + Hub(  0.00021 ) 
User acarlos1000 = Auth(  0.00007 ) + Hub(  0.00005 ) 
User hnchuong = Auth(  0.00007 ) + Hub(  0.00004 ) 
User mewz = Auth(  0.00025 ) + Hub(  0.00009 ) 
User bastien = Auth(  0.00007 ) + Hub(  0.00008 ) 
User rndmcnlly = Auth(  0.00054 ) + Hub(  0.00021 ) 
User bishless = Auth(  0.00007 ) + Hub(  0.00374 ) 
User freebase = Auth(  0.00105 ) + Hub(  0.00000 ) 
User calle = Auth(  0.00007 ) + Hub(  0.00365 ) 
User nedbatchelder = Auth(  0.00067 ) + Hub(  0.00000 ) 
User textgoeshere = Auth(  0.00007 ) + Hub(  0.00549 ) 
User sork = Auth(  0.00007 ) + Hub(  0.01770 ) 
User jgmize = Auth(  0.00007 ) + Hub(  0.00133 ) 
User cwilliams = Auth(  0.00007 ) + Hub(  0.00760 ) 
User thewoolleyman = Auth(  0.00061 ) + Hub(  0.00116 ) 
User jamesarosen = Auth(  0.00007 ) + Hub(  0.01317 ) 
User inash = Auth(  0.00007 ) + Hub(  0.00095 ) 
User pinax = Auth(  0.00067 ) + Hub(  0.00000 ) 
User ashchristopher = Auth(  0.00007 ) + Hub(  0.01923 ) 
